Ancho,Columna1,Largo,Tipo,Medidas,Lona 10x10,Truss Ancha 6 mts,Truss Ancha 3 mts,Dados 50x50,Dados de 45x45,Truss delgadas 6 mts,Truss delgadas 3 mts,Dados 30x30,Truss de 1 Metro,Ruff/ Caballete,Esquineros,Caidas,Pernos 24,Pernos 19,Mecates,Culatas,Cruzados,Bridas Tipo U,Plancheta,
10,x,10,Dado Corredizo 50,10x10 Dado Corredizo 50,1,4,4,4,,4,,,,1,4,18,64,8,8,2,4,8,,
10,x,20,Dado Corredizo 50,10x20 Dado Corredizo 50,2,7,7,6,,6,,,,2,6,36,108,16,14,2,10,12,,
10,x,30,Dado Corredizo 50,10x30 Dado Corredizo 50,3,10,10,8,,8,,,,3,8,54,152,24,20,2,16,16,,
10,x,40,Dado Corredizo 50,10x40 Dado Corredizo 50,4,13,13,10,,10,,,,4,10,72,196,32,26,2,22,20,,
10,x,50,Dado Corredizo 50,10x50 Dado Corredizo 50,5,16,16,12,,12,,,,5,12,90,240,40,32,2,28,24,,
10,x,60,Dado Corredizo 50,10x60 Dado Corredizo 50,6,19,19,14,,14,,,,6,14,108,284,48,38,2,34,28,,
10,x,70,Dado Corredizo 50,10x70 Dado Corredizo 50,7,22,22,16,,16,,,,7,16,126,328,56,44,2,40,32,,
10,x,80,Dado Corredizo 50,10x80 Dado Corredizo 50,8,25,25,18,,18,,,,8,18,144,372,64,50,2,46,36,,
10,x,90,Dado Corredizo 50,10x90 Dado Corredizo 50,9,28,28,20,,20,,,,9,20,162,416,72,56,2,52,40,,
10,x,100,Dado Corredizo 50,10x100 Dado Corredizo 50,10,31,31,22,,22,,,,10,22,180,460,80,62,2,58,44,,
10,x,10,Dado Fijo,10x10 Dado Fijo,1,0,0,,,4,8,4,4,1,4,18,72,8,8,2,4,8,,
10,x,20,Dado Fijo,10x20 Dado Fijo,2,,,,,7,13,6,6,2,6,36,120,16,14,2,10,12,,
10,x,30,Dado Fijo,10x30 Dado Fijo,3,,,,,10,18,8,8,3,8,54,168,24,20,2,16,16,,
10,x,40,Dado Fijo,10x40 Dado Fijo,4,,,,,13,23,10,10,4,10,72,216,32,26,2,22,20,,
10,x,50,Dado Fijo,10x50 Dado Fijo,5,,,,,16,28,12,12,5,12,90,264,40,32,2,28,24,,
10,x,60,Dado Fijo,10x60 Dado Fijo,6,,,,,19,33,14,14,6,14,108,312,48,38,2,34,28,,
10,x,70,Dado Fijo,10x70 Dado Fijo,7,,,,,22,38,16,16,7,16,126,360,56,44,2,40,32,,
10,x,80,Dado Fijo,10x80 Dado Fijo,8,,,,,25,43,18,18,8,18,144,408,64,50,2,46,36,,
10,x,90,Dado Fijo,10x90 Dado Fijo,9,,,,,28,48,20,20,9,20,162,456,72,56,2,52,40,,
10,x,100,Dado Fijo,10x100 Dado Fijo,10,,,,,31,53,22,22,10,22,180,504,80,62,2,58,44,,
10,x,10,Dado Corredizo 45,10x10 Dado Corredizo 45,1,,,,4,8,4,,,1,4,18,64,8,8,2,4,8,4,
10,x,20,Dado Corredizo 45,10x20 Dado Corredizo 45,2,,,,6,13,7,,,2,6,36,108,16,14,2,10,12,6,
10,x,30,Dado Corredizo 45,10x30 Dado Corredizo 45,3,,,,8,18,10,,,3,8,54,152,24,20,2,16,16,8,
10,x,40,Dado Corredizo 45,10x40 Dado Corredizo 45,4,,,,10,23,13,,,4,10,72,196,32,26,2,22,20,10,
10,x,50,Dado Corredizo 45,10x50 Dado Corredizo 45,5,,,,12,28,16,,,5,12,90,240,40,32,2,28,24,12,
10,x,60,Dado Corredizo 45,10x60 Dado Corredizo 45,6,,,,14,33,19,,,6,14,108,284,48,38,2,34,28,14,
10,x,70,Dado Corredizo 45,10x70 Dado Corredizo 45,7,,,,16,38,22,,,7,16,126,328,56,44,2,40,32,16,
10,x,80,Dado Corredizo 45,10x80 Dado Corredizo 45,8,,,,18,43,25,,,8,18,144,372,64,50,2,46,36,18,
10,x,90,Dado Corredizo 45,10x90 Dado Corredizo 45,9,,,,20,48,28,,,9,20,162,416,72,56,2,52,40,20,
10,x,100,Dado Corredizo 45,10x100 Dado Corredizo 45,10,,,,22,53,31,,,10,22,180,460,80,62,2,58,44,22,
